Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
1,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",7,Core,Apartment/ flat ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Education,"Cost , Convenience , Availability of options, Safety "
2,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Core,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Safety , Going to multiple locations in same trip"
3,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,1-3 Years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Work,"Travel time, Convenience , Unavailability of Public Transport "
4,26-35 Years ,Male ,Business ,"Above ₹75,000 ",3,Core,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Walking,10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
5,18-25 Years ,Male ,Student ,"₹30,001 - ₹50,000 ",4,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,1-5 km ,2-3 trips ,Education,"Cost , Travel time, Safety "
6,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",3,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Travel time, Convenience , Environmental impact , Safety , Going to multiple locations in same trip"
7,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Safety "
8,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Apartment/ flat ,3-5 Years ,"Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
9,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
10,56-65 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",3,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Safety "
